TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
313190.8854,-9590.1,3607.46,12616.35,11814.64,9370.71,10506.54,15311.34,15527.15
313190.8894,-9588.34,3611.85,12610.87,11814.88,9362.94,10507.3,15308.38,15523.48
313190.8934,-9588.58,3611.04,12610.15,11806.92,9364.18,10500.77,15305.81,15521.15
313190.8974,-9598.49,3601.79,12584.88,11783.17,9337.57,10476.26,15281.35,15497.92
313190.9014,-9593.06,3606.56,12593.56,11790.94,9348.68,10484.17,15288.83,15506.6
313190.9054,-9595.92,3602.6,12607.0,11800.34,9361.89,10493.95,15301.04,15517.19
313190.9094,-9597.59,3602.17,12593.8,11787.7,9347.2,10482.17,15287.88,15504.03
313190.9133,-9595.49,3608.42,12595.56,11790.85,9350.01,10482.84,15289.88,15506.7
313190.9173,-9598.73,3607.23,12596.27,11797.81,9350.01,10488.7,15291.98,15508.37
313190.9213,-9597.35,3608.04,12606.29,11806.39,9360.46,10499.14,15302.23,15518.62
313190.9253,-9592.92,3607.61,12619.69,11816.17,9373.19,10509.21,15314.49,15530.97
313190.9293,-9593.54,3603.74,12619.45,11807.35,9373.81,10500.58,15311.67,15527.06
313190.9333,-9594.49,3604.46,12606.0,11794.14,9360.98,10486.03,15298.65,15513.18
313190.9373,-9589.39,3610.66,12604.86,11795.9,9360.41,10488.46,15299.27,15514.18
313190.9413,-9585.33,3616.43,12615.44,11809.97,9371.33,10502.86,15309.91,15525.82
313190.9453,-9585.1,3616.48,12615.06,11809.78,9370.8,10501.43,15310.0,15525.2
313190.9493,-9584.48,3617.29,12601.19,11792.66,9356.79,10484.89,15295.08,15511.13
313190.9533,-9582.62,3620.34,12601.28,11795.38,9355.83,10487.99,15295.27,15512.71
313190.9573,-9583.67,3616.33,12594.89,11792.09,9348.78,10485.17,15291.36,15507.6
313190.9613,-9581.42,3617.48,12597.85,11792.85,9352.92,10486.99,15294.98,15510.04
313190.9653,-9580.18,3619.48,12608.77,11802.48,9362.17,10494.9,15303.85,15518.33
313190.9693,-9578.66,3622.91,12618.59,11814.02,9373.86,10506.35,15313.91,15529.78
313190.9733,-9574.65,3625.82,12620.36,11817.74,9375.48,10511.64,15316.11,15532.88
313190.9772,-9581.76,3621.01,12598.95,11797.05,9352.3,10489.66,15293.65,15510.51
313190.9812,-9590.72,3613.62,12585.69,11783.65,9338.81,10476.16,15282.39,15497.16
313190.9852,-9588.05,3615.38,12594.46,11791.9,9348.44,10484.51,15291.5,15506.13
313190.9892,-9585.52,3616.81,12603.28,11800.67,9357.41,10492.52,15300.94,15514.8
313190.9932,-9590.2,3612.42,12609.39,11806.73,9363.32,10499.19,15305.95,15520.86
313190.9972,-9594.87,3607.75,12605.72,11806.78,9358.69,10499.34,15302.8,15519.33
313191.0012,-9589.77,3611.52,12612.11,11809.97,9366.7,10503.44,15308.57,15524.34
313191.0052,-9592.44,3610.66,12601.9,11791.52,9355.78,10485.36,15294.27,15510.7
313191.0092,-9594.11,3609.04,12599.61,11789.94,9354.4,10482.55,15292.93,15509.27
313191.0132,-9586.62,3613.52,12608.34,11803.15,9364.84,10496.09,15304.76,15520.48
313191.0172,-9581.19,3618.86,12610.72,11809.16,9365.85,10502.77,15307.57,15523.53
313191.0212,-9582.81,3618.77,12605.81,11804.06,9360.22,10498.81,15304.19,15519.1
313191.0252,-9587.53,3618.19,12605.81,11803.25,9360.27,10496.67,15302.9,15519.48
313191.0292,-9583.28,3622.25,12609.24,11805.06,9364.22,10498.05,15305.9,15522.15
313191.0332,-9581.66,3624.49,12616.11,11811.11,9371.33,10505.11,15312.63,15529.06
313191.0372,-9582.23,3628.68,12617.88,11811.45,9371.9,10504.53,15313.05,15529.11
