TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
695189.5109,-960.994,-214.049,-185.135,-568.75,2423.75,-1618.75,649.04,228.0,76.0
695189.5609,-958.859,-215.147,-187.209,-1128.75,1846.25,-1435.0,642.96,231.04,56.24
695189.6109,-959.103,-218.502,-186.111,-367.5,1697.5,-1400.0,635.36,240.16,77.52
695189.6609,-956.175,-214.293,-185.013,-271.25,1951.25,-1391.25,626.24,256.88,77.52
695189.7109,-960.14,-209.779,-184.525,-770.0,1662.5,-1347.5,633.84,229.52,59.28
695189.7609,-957.944,-211.426,-186.904,-1566.25,2126.25,-1785.0,652.08,232.56,71.44
695189.8109,-964.471,-218.197,-186.965,428.75,2152.5,-2240.0,626.24,244.72,74.48
695189.8609,-954.955,-217.526,-186.111,892.5,1400.0,-1671.25,644.48,229.52,76.0
695189.9109,-963.861,-210.389,-188.063,-367.5,1785.0,-1820.0,635.36,231.04,80.56
695189.9609,-960.018,-213.439,-184.708,-1181.25,1286.25,-1435.0,629.28,234.08,74.48
695190.0109,-954.528,-210.145,-184.586,-971.25,2248.75,-1233.75,644.48,235.6,62.32
695190.061,-959.835,-216.428,-190.198,-840.0,2572.5,-1268.75,627.76,226.48,69.92
695190.1109,-964.105,-216.916,-192.638,-778.75,1146.25,-1601.25,641.44,220.4,77.52
695190.1609,-957.456,-212.524,-183.427,315.0,1382.5,-2362.5,633.84,249.28,77.52
695190.2109,-963.007,-214.781,-182.573,-595.0,1207.5,-1977.5,642.96,211.28,72.96
695190.2609,-956.541,-216.001,-181.841,-586.25,1741.25,-1531.25,647.52,232.56,88.16
695190.3109,-960.323,-214.598,-182.146,-568.75,2161.25,-1400.0,635.36,214.32,63.84
695190.3609,-961.36,-213.378,-184.22,-1242.5,1977.5,-1391.25,641.44,224.96,79.04
695190.4109,-960.75,-215.513,-184.281,-866.25,1907.5,-1610.0,633.84,234.08,63.84
695190.4609,-958.249,-215.635,-185.623,-131.25,2222.5,-1592.5,641.44,224.96,77.52
695190.5109,-962.336,-213.622,-184.952,-87.5,2170.0,-1426.25,646.0,235.6,63.84
695190.5609,-959.774,-211.243,-186.05,-717.5,2135.0,-1513.75,641.44,235.6,79.04
695190.6109,-961.299,-211.67,-190.564,-1583.75,1785.0,-1636.25,647.52,220.4,74.48
695190.6609,-959.469,-219.783,-187.88,52.5,2283.75,-2318.75,644.48,218.88,63.84
695190.7109,-954.955,-217.77,-183.61,385.0,1863.75,-1715.0,642.96,237.12,69.92
695190.7609,-961.36,-212.219,-185.745,-472.5,2073.75,-1907.5,632.32,234.08,68.4
695190.8109,-964.349,-213.683,-188.307,-1365.0,2030.0,-1365.0,627.76,244.72,85.12
695190.8609,-954.223,-215.696,-188.063,350.0,2686.25,-1470.0,650.56,220.4,74.48
695190.9109,-959.408,-215.452,-194.468,-1671.25,2231.25,-831.25,635.36,226.48,59.28
695190.9609,-964.166,-210.999,-195.078,-1837.5,708.75,-1050.0,642.96,228.0,74.48
695191.0109,-959.896,-216.245,-190.991,910.0,936.25,-2205.0,639.92,234.08,66.88
695191.0609,-959.774,-215.208,-185.745,-113.75,822.5,-1881.25,642.96,240.16,91.2
695191.1109,-959.103,-211.914,-185.623,-481.25,1085.0,-1601.25,650.56,231.04,63.84
695191.1609,-958.798,-213.561,-185.867,-717.5,1785.0,-1382.5,639.92,223.44,69.92
695191.2109,-959.042,-212.158,-184.708,-1093.75,1855.0,-1067.5,647.52,224.96,77.52
695191.2609,-962.092,-214.903,-187.88,-778.75,1557.5,-1330.0,620.16,228.0,60.8
695191.3109,-961.055,-211.975,-188.856,-131.25,1741.25,-1242.5,639.92,228.0,79.04
695191.3609,-958.554,-209.047,-187.392,-253.75,1898.75,-1338.75,649.04,246.24,62.32
695191.4109,-966.728,-208.071,-186.477,-630.0,1811.25,-1583.75,636.88,221.92,62.32
695191.4609,-961.543,-210.328,-185.257,-595.0,1968.75,-1610.0,646.0,231.04,66.88
695191.5109,-959.469,-213.988,-180.804,-393.75,1548.75,-1680.0,633.84,241.68,89.68
695191.5609,-958.31,-210.755,-183.0,-586.25,1653.75,-1820.0,650.56,221.92,72.96
695191.6109,-960.567,-214.11,-185.562,-315.0,2301.25,-1837.5,630.8,238.64,72.96
695191.6609,-958.432,-208.376,-186.965,306.25,2817.5,-1767.5,656.64,220.4,71.44
695191.7109,-960.933,-213.012,-192.76,-280.0,3001.25,-1741.25,632.32,224.96,76.0
695191.7609,-961.909,-215.208,-189.954,-831.25,1338.75,-1653.75,630.8,223.44,71.44
695191.8109,-960.079,-215.757,-190.991,533.75,1111.25,-2091.25,646.0,220.4,82.08
695191.8609,-961.055,-214.598,-185.928,0.0,910.0,-2047.5,636.88,231.04,59.28
695191.9109,-958.981,-216.367,-184.037,96.25,1330.0,-2082.5,659.68,221.92,77.52
695191.9609,-956.724,-216.672,-185.623,-297.5,1951.25,-1697.5,641.44,253.84,74.48
695192.0109,-959.042,-215.513,-184.952,-787.5,2178.75,-1680.0,638.4,237.12,76.0
695192.0609,-961.726,-215.696,-185.501,-813.75,1548.75,-1732.5,644.48,235.6,74.48
695192.1109,-958.066,-214.476,-185.745,-358.75,1382.5,-1408.75,635.36,223.44,60.8
695192.1609,-958.31,-213.683,-185.928,-306.25,1793.75,-1268.75,632.32,231.04,85.12
695192.2109,-959.469,-212.219,-185.44,-437.5,1916.25,-1671.25,629.28,237.12,68.4
695192.2609,-960.994,-213.744,-187.697,-1190.0,2152.5,-2003.75,642.96,229.52,69.92
