TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
694410.1609,-953.369,-210.999,-218.502,-17.5,2117.5,-1566.25,624.72,231.04,83.6
694410.2109,-954.162,-209.596,-219.112,-700.0,2082.5,-1531.25,641.44,215.84,88.16
694410.2609,-953.796,-208.437,-218.868,-761.25,1846.25,-1986.25,635.36,217.36,76.0
694410.3109,-953.552,-214.598,-223.626,-962.5,1408.75,-1540.0,632.32,229.52,104.88
694410.3609,-952.942,-212.524,-223.016,-411.25,1846.25,-1251.25,612.56,241.68,91.2
694410.4109,-954.589,-207.095,-223.077,-1207.5,2038.75,-1277.5,642.96,221.92,83.6
694410.4609,-960.567,-205.936,-222.406,70.0,1452.5,-1855.0,632.32,221.92,69.92
694410.5109,-950.502,-215.147,-218.014,656.25,1382.5,-2240.0,623.2,229.52,85.12
694410.5609,-951.295,-210.816,-218.014,-288.75,1531.25,-1513.75,639.92,223.44,83.6
694410.6109,-953.979,-210.755,-218.075,70.0,2038.75,-1128.75,627.76,258.4,95.76
694410.6609,-954.223,-203.496,-217.221,-691.25,1365.0,-1207.5,641.44,226.48,83.6
694410.7109,-953.796,-208.681,-218.258,-131.25,1916.25,-2091.25,647.52,240.16,94.24
694410.7609,-952.759,-217.587,-223.626,-87.5,1575.0,-1531.25,629.28,223.44,80.56
694410.8109,-956.602,-211.182,-215.818,2432.5,1443.75,-2073.75,638.4,234.08,79.04
694410.8609,-946.781,-214.476,-218.929,6457.5,2896.25,-2966.25,629.28,243.2,69.92
694410.9109,-957.151,-212.158,-217.404,7393.75,4593.75,-2800.0,644.48,224.96,72.96
694410.9609,-953.491,-204.96,-216.245,6483.75,4593.75,-2730.0,635.36,246.24,63.84
694411.0109,-956.419,-207.339,-220.271,1137.5,2747.5,-2590.0,632.32,232.56,83.6
694411.0609,-953.979,-213.012,-220.942,-2852.5,1356.25,-2528.75,636.88,243.2,59.28
694411.1109,-948.733,-228.689,-222.101,-1531.25,1610.0,-1960.0,629.28,223.44,80.56
694411.1609,-945.927,-229.665,-223.565,813.75,2353.75,-857.5,658.16,214.32,86.64
694411.2109,-947.208,-217.77,-221.918,385.0,2800.0,-1015.0,627.76,223.44,72.96
694411.2609,-954.345,-217.465,-223.26,-26.25,2073.75,-1592.5,629.28,228.0,88.16
694411.3109,-951.295,-223.809,-220.393,-1916.25,1286.25,-1067.5,627.76,240.16,71.44
694411.3609,-951.539,-216.489,-221.369,-1820.0,971.25,-717.5,633.84,214.32,85.12
694411.4109,-953.613,-214.598,-224.053,-1268.75,1513.75,-542.5,635.36,234.08,54.72
694411.4609,-953.308,-205.57,-223.992,-1461.25,1662.5,-743.75,629.28,244.72,76.0
694411.5109,-953.979,-210.511,-225.639,-595.0,2100.0,-1435.0,635.36,234.08,88.16
694411.5609,-954.772,-216.55,-223.626,-1820.0,1268.75,-1190.0,621.68,241.68,80.56
694411.6109,-953.308,-207.827,-219.722,43.75,1286.25,-1942.5,647.52,228.0,77.52
694411.6609,-953.308,-211.182,-217.587,-945.0,1557.5,-2441.25,627.76,243.2,69.92
694411.711,-948.245,-221.125,-220.454,8.75,2301.25,-2275.0,635.36,240.16,80.56
694411.7609,-952.698,-216.733,-220.881,280.0,2441.25,-1610.0,638.4,229.52,77.52
694411.8109,-950.502,-213.378,-223.382,-577.5,2292.5,-1933.75,632.32,226.48,80.56
